date,home,away,home_score,away_score
2025-09-02,Minnesota Lynx,Dallas Wings,96,71
2025-09-02,Seattle Storm,Los Angeles Sparks,85,91
2025-09-03,Golden State Valkyries,New York Liberty,66,58
2025-09-03,Phoenix Mercury,Indiana Fever,85,79
2025-09-03,Atlanta Dream,Los Angeles Sparks,86,75
2025-09-04,Chicago Sky,Connecticut Sun,88,64
2025-09-04,Washington Mystics,Phoenix Mercury,69,75
2025-09-05,Golden State Valkyries,Dallas Wings,84,80
2025-09-05,Las Vegas Aces,Minnesota Lynx,97,87
2025-09-05,Atlanta Dream,Los Angeles Sparks,104,85
2025-09-05,Indiana Fever,Chicago Sky,97,77
2025-09-06,Seattle Storm,New York Liberty,76,84
2025-09-06,Connecticut Sun,Phoenix Mercury,87,84
2025-09-07,Golden State Valkyries,Minnesota Lynx,72,78
2025-09-07,Washington Mystics,Indiana Fever,65,94
2025-09-07,Los Angeles Sparks,Dallas Wings,91,77
2025-09-08,Las Vegas Aces,Chicago Sky,80,66
2025-09-08,Atlanta Dream,Connecticut Sun,87,62
2025-09-09,New York Liberty,Washington Mystics,75,66
2025-09-09,Indiana Fever,Minnesota Lynx,83,72
2025-09-10,Las Vegas Aces,Chicago Sky,92,61
2025-09-10,Phoenix Mercury,Los Angeles Sparks,83,88
2025-09-10,Seattle Storm,Golden State Valkyries,74,73
2025-09-10,Connecticut Sun,Atlanta Dream,72,88
2025-09-12,Chicago Sky,New York Liberty,86,91
2025-09-12,Dallas Wings,Phoenix Mercury,97,76
2025-09-12,Minnesota Lynx,Golden State Valkyries,72,53
2025-09-12,Los Angeles Sparks,Las Vegas Aces,75,103
2025-09-14,Minnesota Lynx,Golden State Valkyries,101,72
2025-09-14,Atlanta Dream,Indiana Fever,80,68
2025-09-14,Phoenix Mercury,New York Liberty,69,76
2025-09-15,Las Vegas Aces,Seattle Storm,102,77
2025-09-16,Indiana Fever,Atlanta Dream,77,60
2025-09-17,Seattle Storm,Las Vegas Aces,86,83
2025-09-18,New York Liberty,Phoenix Mercury,60,86
2025-09-18,Golden State Valkyries,Minnesota Lynx,74,75
2025-09-18,Atlanta Dream,Indiana Fever,85,87
2025-09-19,Las Vegas Aces,Seattle Storm,74,73
2025-09-20,Phoenix Mercury,New York Liberty,79,73
2025-09-21,Las Vegas Aces,Indiana Fever,73,89
2025-09-21,Minnesota Lynx,Phoenix Mercury,82,69
2025-09-23,Minnesota Lynx,Phoenix Mercury,83,89
2025-09-24,Las Vegas Aces,Indiana Fever,90,68
2025-09-26,Indiana Fever,Las Vegas Aces,72,84
2025-09-27,Phoenix Mercury,Minnesota Lynx,84,76
2025-09-28,Indiana Fever,Las Vegas Aces,90,83
2025-09-29,Phoenix Mercury,Minnesota Lynx,86,81
2025-10-01,Las Vegas Aces,Indiana Fever,107,98
2025-10-04,Las Vegas Aces,Phoenix Mercury,89,86
2025-10-05,Las Vegas Aces,Phoenix Mercury,91,78
2025-10-09,Phoenix Mercury,Las Vegas Aces,88,90
2025-10-11,Phoenix Mercury,Las Vegas Aces,86,97
