date,home,away,home_score,away_score
2026-05-15,Gold Coast SUNS,Port Adelaide,98,73
2026-05-16,Adelaide Crows,North Melbourne,133,65
2026-05-16,Melbourne,Hawthorn,120,81
2026-05-16,Carlton,Western Bulldogs,74,62
2026-05-17,Essendon,Fremantle,61,104
2026-05-17,St Kilda,Richmond,109,73
2026-05-17,West Coast Eagles,GWS GIANTS,88,71
2026-05-21,Hawthorn,Adelaide Crows,75,66
2026-05-22,Richmond,Essendon,74,56
2026-05-22,Fremantle,St Kilda,104,74
2026-05-23,North Melbourne,Gold Coast SUNS,111,105
2026-05-23,Geelong Cats,Sydney Swans,107,80
2026-05-23,Collingwood,West Coast Eagles,92,82
2026-05-23,Port Adelaide,Carlton,58,92
2026-05-24,GWS GIANTS,Brisbane Lions,166,88
2026-05-24,Western Bulldogs,Melbourne,93,90
2026-05-28,St Kilda,Hawthorn,67,119
2026-05-29,Carlton,Geelong Cats,88,84
2026-05-30,Sydney Swans,Richmond,170,56
2026-05-30,Brisbane Lions,Fremantle,78,103
2026-05-30,Western Bulldogs,Collingwood,97,93
2026-05-31,Melbourne,GWS GIANTS,70,119
2026-05-31,West Coast Eagles,Essendon,85,55
2026-06-04,Adelaide Crows,Geelong Cats,75,74
2026-06-05,Hawthorn,Western Bulldogs,71,77
2026-06-06,North Melbourne,Fremantle,31,155
2026-06-06,Gold Coast SUNS,Brisbane Lions,75,106
2026-06-06,West Coast Eagles,Port Adelaide,71,77
2026-06-07,Sydney Swans,St Kilda,104,102
2026-06-07,Essendon,Carlton,67,72
2026-06-08,Collingwood,Melbourne,75,83
2026-06-11,Western Bulldogs,Adelaide Crows,64,121
