date,winner,loser
2025-08-09,Iasmin Lucindo,Angela Hill
2025-08-09,Steve Erceg,Ode' Osbourne
2025-08-09,Anthony Hernandez,Roman Dolidze
2025-08-12,Yuri Panferov,Chris Ewert
2025-08-12,Radley da Silva,George Mangos
2025-08-12,Baisangur Susurkaev,Murtaza Talha
2025-08-12,Ty Miller,Jimmy Drago
2025-08-12,Ilian Bouafia,Neemias Santana
2025-08-16,Joseph Morales,Alibi Idiris
2025-08-16,Karine Silva,Dione Barbosa
2025-08-16,Drakkar Klose,Edson Barboza
2025-08-16,Alexander Hernandez,Chase Hooper
2025-08-16,Loopy Godínez,Jessica Andrade
2025-08-16,Michal Oleksiejczuk,Gerald Meerschaert
2025-08-16,Baisangur Susurkaev,Eric Nolan
2025-08-16,Tim Elliott,Kai Asakura
2025-08-16,Michael Page,Jared Cannonier
2025-08-16,Carlos Prates,Geoff Neal
2025-08-16,Lerone Murphy,Aaron Pico
2025-08-16,Khamzat Chimaev,Dricus Du Plessis
2025-08-20,Ramiro Jimenez,Tommy Cuozzi
2025-08-20,Josh Hokit,Guilherme Uriel
2025-08-20,Louis Lee Scott,Kaushik Saikumar
2025-08-20,Cam Rowston,Brandon Holmes
2025-08-20,Jose Delano,Manuel Exposito
2025-08-23,Uran Satybaldiev,Diyar Nurgozhay
2025-08-23,SuYoung You,Xiao Long
2025-08-23,Yizha,Westin Wilson
2025-08-23,Kyle Daukaus,Michel Pereira
2025-08-23,Rongzhu,Austin Hubbard
2025-08-23,Charles Johnson,Lone'er Kavanagh
2025-08-23,Gauge Young,Maheshate
2025-08-23,Taiyilake Nueraji,Kiefer Crosbie
2025-08-23,Sumudaerji,Kevin Borjas
2025-08-23,Sergei Pavlovich,Waldo Cortes Acosta
2025-08-23,Aljamain Sterling,Brian Ortega
2025-08-23,Johnny Walker,Zhang Mingyang
2025-08-27,Donte Johnson,Darion Abbey
2025-08-27,Manoel Sousa,Cristian Perez
2025-08-27,Abdul-Rakhman Yakhyaev,Alik Lorenz
2025-08-27,Marcio Barbosa,Damon Wilson
2025-08-27,Ryan Gandra,Trent Miller
2025-09-03,Tommy McMillen,David Mgoyan
2025-09-03,Eduardo Chapolin,An Tuan Ho
2025-09-03,Mandel Nallo,Samuel Silva
2025-09-03,Cezary Oleksiejczuk,Theo Haig
2025-09-03,Jean-Paul Lebosnoyani,Jack Congdon
2025-09-06,Sam Hughes,Shauna Bannon
2025-09-06,Rinat Fakhretdinov,Andreas Gustafsson
2025-09-06,Robert Bryczek,Brad Tavares
2025-09-06,Sam Patterson,Trey Waters
2025-09-06,Kauê Fernandes,Harry Hardwick
2025-09-06,Ante Delija,Marcin Tybura
2025-09-06,Oumar Sy,Brendson Ribeiro
2025-09-06,William Gomis,Robert Ruchała
2025-09-06,Axel Sola,Rhys McKee
2025-09-06,Mason Jones,Bolaji Oki
2025-09-06,Modestas Bukauskas,Paul Craig
2025-09-06,Benoît Saint Denis,Mauricio Ruffy
2025-09-06,Nassourdine Imavov,Caio Borralho
2025-09-10,Carol Foro,Shanelle Dyer
2025-09-10,Samuel Sanches,Chasen Blair
2025-09-10,Freddy Vidal,Felipe Franco
2025-09-10,Lerryan Douglas,Cam Teague
2025-09-10,Steven Asplund,Anthony Guarascio
2025-09-13,Daniil Donchenko,Rodrigo Sezinando
2025-09-13,Montse Rendon,Alice Pereira
2025-09-13,Alden Coria,Alessandro Costa
2025-09-13,Jesus Aguilar,Luis Gurule
2025-09-13,Tatiana Suarez,Amanda Lemos
2025-09-13,Joaquim Silva,Claudio Puelles
2025-09-13,Duško Todorović,Jose Daniel Medina
2025-09-13,Santiago Luna,Quang Le
2025-09-13,Alexander Hernandez,Diego Ferreira
2025-09-13,Kelvin Gastelum,Dustin Stoltzfus
2025-09-13,Rafa Garcia,Jared Gordon
2025-09-13,David Martinez,Rob Font
2025-09-13,Diego Lopes,Jean Silva
2025-09-17,Cody Chovancek,Raphael Uchegbu
2025-09-17,Paddy McCorry,In Soo Hwang
2025-09-17,Tommy Gantt,Adam Livingston
2025-09-17,Iwo Baraniewski,Mahamed Aly
2025-09-17,Hecher Sosa,Mackson Lee
2025-09-24,Rafael Tobias,Jair de Oliveira
2025-09-24,Javier Reyes,Justice Torres
2025-09-24,Jeisla Chaves,Sofia Montenegro
2025-09-24,Murtazali Magomedov,Brahyam Zurcher
2025-09-24,Mantas Kondratavičius,Djani Barbir
2025-09-27,Alexia Thainara,Loma Lookboonmee
2025-09-27,Brando Peričić,Elisha Ellison
2025-09-27,Michelle Montague,Luana Carolina
2025-09-27,Colby Thicknesse,Josias Musasa
2025-09-27,Jamie Mullarkey,Rolando Bedoya
2025-09-27,Cam Rowston,Andre Petroski
2025-09-27,Navajo Stirling,Rodolfo Bellato
2025-09-27,Tom Nolan,Charlie Campbell
2025-09-27,Neil Magny,Jake Matthews
2025-09-27,Jack Jenkins,Ramon Taveras
2025-09-27,Jimmy Crute,Ivan Erslan
2025-09-27,Carlos Ulberg,Dominick Reyes
2025-10-01,Rashid Vagabov,Paulo Henrique
2025-10-01,Kurtis Campbell,Demba Seck
2025-10-01,Christopher Alvidrez,Eliezer Kubanza
2025-10-01,Louis Jourdain,Magno Dias
2025-10-01,Damian Pinas,Vitor Costa
2025-10-04,Veronica Hardy,Brogan Walker
2025-10-04,Ramiz Brahimaj,Austin Vanderford
2025-10-04,Farid Basharat,Chris Gutierrez
2025-10-04,Yana Santos,Macy Chiasson
2025-10-04,Punahele Soriano,Nikolay Veretennikov
2025-10-04,Edmen Shahbazyan,Andre Muniz
2025-10-04,Jakub Wikłacz,Patchy Mix
2025-10-04,Daniel Santos,JooSang Yoo
2025-10-04,Ateba Gautier,Tre'ston Vines
2025-10-04,Joe Pyfer,Abus Magomedov
2025-10-04,Youssef Zalal,Josh Emmett
2025-10-04,Jiří Procházka,Khalil Rountree Jr.
2025-10-04,Merab Dvalishvili,Cory Sandhagen
2025-10-04,Alex Pereira,Magomed Ankalaev
2025-10-08,Luke Fernandez,Rafael Pergentino
2025-10-08,Luis Felipe Dias,Donavon Hedrick
2025-10-08,Imanol Rodriguez,Roque Conceição
2025-10-08,Adrian Luna Martinetti,Mark Vologdin
2025-10-08,Magomed Zaynukov,Lucas Caldas
2025-10-11,Luan Lacerda,Saimon Oliveira
2025-10-11,Julia Polastri,Karolina Kowalkiewicz
2025-10-11,Lucas Rocha,Stewart Nicoll
2025-10-11,Bia Mesquita,Irina Alekseeva
2025-10-11,Vitor Petrino,Thomas Petersen
2025-10-11,Jafel Filho,Clayton Carpenter
2025-10-11,Michael Aswell,Lucas Almeida
2025-10-11,Kaan Ofli,Ricardo Ramos
2025-10-11,Mario Pinto,Jhonata Diniz
2025-10-11,Joel Álvarez,Vicente Luque
2025-10-11,Deiveson Figueiredo,Montel Jackson
2025-10-11,Charles Oliveira,Mateusz Gamrot
2025-10-15,Wes Schultz,Mario Mingaj
2025-10-15,Jovan Leka,Azamat Nuftillaev
2025-10-15,Michael Oliveira,Victor Valenzuela
2025-10-15,Marwan Rahiki,Ananias Mulumba
2025-10-15,Juan Diaz,Kwon Won Il
2025-10-18,Melissa Croden,Tainara Lisboa
2025-10-18,Yousri Belgaroui,Azamat Bekoev
2025-10-18,Stephanie Luciano,Ravena Oliveira
2025-10-18,Djorden Santos,Danny Barlow
2025-10-18,Bruno Silva,HyunSung Park
2025-10-18,Aoriqileng,Cody Gibson
2025-10-18,Drew Dober,Kyle Prepolec
2025-10-18,Kyle Nelson,Matt Frevola
2025-10-18,Charles Jourdain,Davey Grant
2025-10-18,Manon Fiorot,Jasmine Jasudavicius
2025-10-18,Aiemann Zahabi,Marlon Vera
2025-10-18,Mike Malott,Kevin Holland
2025-10-18,Brendan Allen,Reinier de Ridder
2025-10-25,Mizuki,Jaqueline Amorim
2025-10-25,Mitch Raposo,Azat Maksum
2025-10-25,Hamdy Abdelwahab,Chris Barnett
2025-10-25,Nathaniel Wood,Jose Miguel Delgado
2025-10-25,Valter Walker,Louie Sutherland
2025-10-25,Ludovit Klein,Mateusz Rębecki
2025-10-25,Ikram Aliskerov,JunYong Park
2025-10-25,Quillan Salkilld,Nasrat Haqparast
2025-10-25,Azamat Murzakanov,Aleksandar Rakic
2025-10-25,Alexander Volkov,Jailton Almeida
2025-10-25,Umar Nurmagomedov,Mario Bautista
2025-10-25,Mackenzie Dern,Virna Jandiroba
2025-11-01,Talita Alencar,Ariane Carnelossi
2025-11-01,Seokhyeon Ko,Phil Rowe
2025-11-01,Alice Ardelean,Montserrat Conejo Ruiz
2025-11-01,Norma Dumont,Ketlen Vieira
2025-11-01,Donte Johnson,Sedriques Dumas
2025-11-01,Timmy Cuamba,ChangHo Lee
2025-11-01,Billy Elekana,Kevin Christian
2025-11-01,Allan Nascimento,Cody Durden
2025-11-01,Charles Radtke,Daniel Frunza
2025-11-01,Yadier del Valle,Isaac Dulgarian
2025-11-01,Jeremiah Wells,Themba Gorimbo
2025-11-01,Waldo Cortes Acosta,Ante Delija
2025-11-01,Steve Garcia,David Onama
2025-11-08,Zachary Reese,Jackson McVey
2025-11-08,Daniel Marcos,Miles Johns
2025-11-08,Denise Gomes,Tecia Pennington
2025-11-08,Josh Hokit,Max Gimenis
2025-11-08,Jacqueline Cavalcanti,Mayra Bueno Silva
2025-11-08,Raoni Barcelos,Ricky Simon
2025-11-08,Jamall Emmers,Hyder Amil
2025-11-08,Christian Leroy Duncan,Marco Tulio
2025-11-08,Chris Padilla,Ismael Bonfim
2025-11-08,Uroš Medić,Muslim Salikhov
2025-11-08,Joseph Morales,Matt Schnell
2025-11-08,Gabriel Bonfim,Randy Brown
2025-11-15,Matheus Camilo,Viacheslav Borshchev
2025-11-15,Baisangur Susurkaev,Eric McConico
2025-11-15,Fatima Kline,Angela Hill
2025-11-15,Pat Sabatini,Chepe Mariscal
2025-11-15,Kyle Daukaus,Gerald Meerschaert
2025-11-15,Ethyn Ewing,Malcolm Wellmaker
2025-11-15,Erin Blanchfield,Tracy Cortez
2025-11-15,Gregory Rodrigues,Roman Kopylov
2025-11-15,Bo Nickal,Rodolfo Vieira
2025-11-15,Benoît Saint Denis,Beneil Dariush
2025-11-15,Carlos Prates,Leon Edwards
2025-11-15,Michael Morales,Sean Brady
2025-11-15,Valentina Shevchenko,Zhang Weili
2025-11-15,Islam Makhachev,Jack Della Maddalena
2025-11-22,Denzel Freeman,Marek Bujlo
2025-11-22,Nurullo Aliev,Shem Rock
2025-11-22,Ismail Naurdiev,Ryan Loder
2025-11-22,Aleksandre Topuria,Bekzat Almakhan
2025-11-22,Abdul-Rakhman Yakhyaev,Rafael Cerqueira
2025-11-22,Asu Almabayev,Alex Perez
2025-11-22,Nicolas Dalby,Saygid Izagakhmaev
2025-11-22,Luke Riley,Bogdan Grad
2025-11-22,Kyoji Horiguchi,Tagir Ulanbekov
2025-11-22,Waldo Cortes Acosta,Shamil Gaziev
2025-11-22,Myktybek Orolbai,Jack Hermansson
2025-11-22,Volkan Oezdemir,Alonzo Menifield
2025-11-22,Ian Machado Garry,Belal Muhammad
2025-11-22,Arman Tsarukyan,Dan Hooker
2025-12-06,Mairon Santos,Muhammad Naimov
2025-12-06,Mansur Abdul-Malik,Antonio Trocoli
2025-12-06,Iwo Baraniewski,Ibo Aslan
2025-12-06,Jalin Turner,Edson Barboza
2025-12-06,Brunno Ferreira,Marvin Vettori
2025-12-06,Farés Ziam,Nazim Sadykhov
2025-12-06,Maycee Barber,Karine Silva
2025-12-06,Chris Duncan,Terrance McKinney
2025-12-06,Manuel Torres,Grant Dawson
2025-12-06,Payton Talbott,Henry Cejudo
2025-12-06,Tatsuro Taira,Brandon Moreno
2025-12-06,Joshua Van,Alexandre Pantoja
2025-12-06,Petr Yan,Merab Dvalishvili
2025-12-14,Jamey-Lyn Horth,Tereza Bleda
2025-12-14,Guilherme Pat,Allen Frye Jr.
2025-12-14,Luana Santos,Melissa Croden
2025-12-14,Steven Asplund,Sean Sharaf
2025-12-14,Joanderson Brito,Isaac Thomson
2025-12-14,Yaroslav Amosov,Neil Magny
2025-12-14,King Green,Lance Gibson Jr.
2025-12-14,Melquizael Costa,Morgan Charrière
2025-12-14,Cezary Oleksiejczuk,Cesar Almeida
2025-12-14,Kevin Vallejos,Giga Chikadze
2025-12-14,Manel Kape,Brandon Royval
2026-01-24,Ty Miller,Adam Fugitt
2026-01-24,Josh Hokit,Denzel Freeman
2026-01-24,Alex Perez,Charles Johnson
2026-01-24,Nikita Krylov,Modestas Bukauskas
2026-01-24,Ateba Gautier,Andrey Pulyaev
2026-01-24,Umar Nurmagomedov,Deiveson Figueiredo
2026-01-24,Jean Silva,Arnold Allen
2026-01-24,Natalia Silva,Rose Namajunas
2026-01-24,Waldo Cortes Acosta,Derrick Lewis
2026-01-24,Sean O'Malley,Song Yadong
2026-01-24,Justin Gaethje,Paddy Pimblett
2026-01-31,Lawrence Lui,Sulangrangbo
2026-01-31,Keiichiro Nakamura,Sebastian Szalay
2026-01-31,Dom Mar Fan,Sangwook Kim
2026-01-31,Kaan Ofli,Yizha
2026-01-31,Jonathan Micallef,Oban Elliott
2026-01-31,Jacob Malkoun,Torrez Finney
2026-01-31,Cam Rowston,Cody Brundage
2026-01-31,Billy Elekana,Junior Tafa
2026-01-31,Quillan Salkilld,Jamie Mullarkey
2026-01-31,Tallison Teixeira,Tai Tuivasa
2026-01-31,Mauricio Ruffy,Rafael Fiziev
2026-01-31,Benoît Saint Denis,Dan Hooker
2026-01-31,Alexander Volkanovski,Diego Lopes
2026-02-07,Klaudia Syguła,Priscila Cachoeira
2026-02-07,Jakub Wikłacz,Muin Gafurov
2026-02-07,Wang Cong,Eduarda Moura
2026-02-07,Javid Basharat,Gianni Vazquez
2026-02-07,Ketlen Souza,Bruna Brasil
2026-02-07,Nikolay Veretennikov,Niko Price
2026-02-07,Daniil Donchenko,Alex Morono
2026-02-07,Dustin Jacoby,Julius Walker
2026-02-07,Farid Basharat,Jean Matsumoto
2026-02-07,Michal Oleksiejczuk,Marc-Andre Barriault
2026-02-07,Rizvan Kuniev,Jailton Almeida
2026-02-07,Kyoji Horiguchi,Amir Albazi
2026-02-07,Mario Bautista,Vinicius Oliveira
2026-02-21,Carli Judice,Juliana Miller
2026-02-21,Jordan Leavitt,Yadier del Valle
2026-02-21,Jean-Paul Lebosnoyani,Phil Rowe
2026-02-21,Punahele Soriano,Ramiz Brahimaj
2026-02-21,Joselyne Edwards,Nora Cornolle
2026-02-21,Alden Coria,Luis Gurule
2026-02-21,Alibi Idiris,Ode' Osbourne
2026-02-21,Carlos Leal,Chidi Njokuani
2026-02-21,Michel Pereira,Zachary Reese
2026-02-21,Jacobe Smith,Josiah Harrell
2026-02-21,Serghei Spivac,Ante Delija
2026-02-21,Melquizael Costa,Dan Ige
2026-02-21,Uroš Medić,Geoff Neal
2026-02-21,Sean Strickland,Anthony Hernandez
2026-02-28,Damian Pinas,Wes Schultz
2026-02-28,Francis Marshall,Erik Silva
2026-02-28,Regina Tarin,Ernesta Kareckaite
2026-02-28,Javier Reyes,Douglas Silva de Andrade
2026-02-28,Cristian Quiñonez,Kris Moutinho
2026-02-28,Ailin Perez,Macy Chiasson
2026-02-28,Ryan Gandra,Jose Daniel Medina
2026-02-28,Santiago Luna,Angel Pacheco
2026-02-28,Imanol Rodriguez,Kevin Borjas
2026-02-28,Édgar Cháirez,Felipe Bunes
2026-02-28,King Green,Daniel Zellhuber
2026-02-28,David Martinez,Marlon Vera
2026-02-28,Lone'er Kavanagh,Brandon Moreno
2026-03-07,Rodolfo Bellato,Luke Fernandez
2026-03-07,Diyar Nurgozhay,Rafael Tobias
2026-03-07,Sumudaerji,Jesus Aguilar
2026-03-07,Nyamjargal Tumendemberel,Cody Durden
2026-03-07,Alberto Montes,Ricky Turcios
2026-03-07,Donte Johnson,Cody Brundage
2026-03-07,Cody Garbrandt,Xiao Long
2026-03-07,Gregory Rodrigues,Brunno Ferreira
2026-03-07,Drew Dober,Michael Johnson
2026-03-07,Raul Rosas Jr.,Rob Font
2026-03-07,Caio Borralho,Reinier de Ridder
2026-03-07,Charles Oliveira,Max Holloway
2026-03-14,Piera Rodriguez,Sam Hughes
2026-03-14,Hecher Sosa,Luan Lacerda
2026-03-14,Bia Mesquita,Montse Rendon
2026-03-14,Eryk Anders,Brad Tavares
2026-03-14,Manoel Sousa,Bolaji Oki
2026-03-14,Elijah Smith,SuYoung You
2026-03-14,Vitor Petrino,Steven Asplund
2026-03-14,Myktybek Orolbai,Chris Curtis
2026-03-14,Charles Johnson,Bruno Silva
2026-03-14,Ion Cutelaba,Oumar Sy
2026-03-14,Marwan Rahiki,Harry Hardwick
2026-03-14,Jose Miguel Delgado,Andre Fili
2026-03-14,Gillian Robertson,Amanda Lemos
2026-03-14,Kevin Vallejos,Josh Emmett
2026-03-21,Shanelle Dyer,Ravena Oliveira
2026-03-21,Abdul-Kareem Al-Selwady,Shem Rock
2026-03-21,Brando Peričić,Louie Sutherland
2026-03-21,Mantas Kondratavičius,Antonio Trocoli
2026-03-21,Mario Pinto,Felipe Franco
2026-03-21,Nathaniel Wood,Losene Keita
2026-03-21,Mason Jones,Axel Sola
2026-03-21,Danny Silva,Kurtis Campbell
2026-03-21,Christian Leroy Duncan,Roman Dolidze
2026-03-21,Iwo Baraniewski,Austen Lane
2026-03-21,Michael Page,Sam Patterson
2026-03-21,Luke Riley,Michael Aswell
2026-03-21,Movsar Evloev,Lerone Murphy
2026-03-28,Alexia Thainara,Bruna Brasil
2026-03-28,Navajo Stirling,Bruno Lopes
2026-03-28,Casey O'Neill,Gabriella Fernandes
2026-03-28,Tyrell Fortune,Marcin Tybura
2026-03-28,Lance Gibson Jr.,Chase Hooper
2026-03-28,Tofiq Musayev,Ignacio Bahamondes
2026-03-28,Terrance McKinney,Kyle Nelson
2026-03-28,Yousri Belgaroui,Mansur Abdul-Malik
2026-03-28,Lerryan Douglas,Julian Erosa
2026-03-28,Michael Chiesa,Niko Price
2026-03-28,Alexa Grasso,Maycee Barber
2026-03-28,Joe Pyfer,Israel Adesanya
2026-04-04,Kai Kamaka III,Dakota Hope
2026-04-04,Dione Barbosa,Melissa Gatto
2026-04-04,Tresean Gore,Azamat Bekoev
2026-04-04,Alice Pereira,Hailey Cowan
2026-04-04,Darrius Flowers,Lando Vannata
2026-04-04,Alessandro Costa,Stewart Nicoll
2026-04-04,Thomas Petersen,Guilherme Pat
2026-04-04,Jose Delano,Robert Ruchała
2026-04-04,Tommy McMillen,Manolo Zecchini
2026-04-04,Ethyn Ewing,Rafael Estevam
2026-04-04,Abdul-Rakhman Yakhyaev,Brendson Ribeiro
2026-04-04,Virna Jandiroba,Tabatha Ricci
2026-04-04,Renato Moicano,Chris Duncan
2026-04-11,Charles Radtke,Francisco Prado
2026-04-11,Vicente Luque,Kelvin Gastelum
2026-04-11,Tatiana Suarez,Loopy Godínez
2026-04-11,Mateusz Gamrot,Esteban Ribovics
2026-04-11,Kevin Holland,Randy Brown
2026-04-11,Aaron Pico,Patricio Pitbull
2026-04-11,Cub Swanson,Nate Landwehr
2026-04-11,Dominick Reyes,Johnny Walker
2026-04-11,Josh Hokit,Curtis Blaydes
2026-04-11,Paulo Costa,Azamat Murzakanov
2026-04-11,Carlos Ulberg,Jiří Procházka
2026-04-18,John Yannis,Jamie Siraj
2026-04-18,JJ Aldrich,Jamey-Lyn Horth
2026-04-18,Melissa Croden,Daria Zhelezniakova
2026-04-18,Gokhan Saricam,Tanner Boser
2026-04-18,Robert Valentin,Julien LeBlanc
2026-04-18,Marcio Barbosa,Dennis Buzukja
2026-04-18,Gauge Young,Thiago Moisés
2026-04-18,Jasmine Jasudavicius,Karine Silva
2026-04-18,Jai Herbert,Mandel Nallo
2026-04-18,Charles Jourdain,Kyler Phillips
2026-04-18,Mike Malott,Gilbert Burns
2026-04-25,Talita Alencar,Julia Polastri
2026-04-25,Victor Valenzuela,Max Griffin
2026-04-25,Francis Marshall,Lucas Brennan
2026-04-25,Cody Durden,Jafel Filho
2026-04-25,Michelle Montague,Mayra Bueno Silva
2026-04-25,Jackson McVey,Sedriques Dumas
2026-04-25,Eric McConico,Rodolfo Vieira
2026-04-25,Ryan Spann,Marcus Buchecha
2026-04-25,Raoni Barcelos,Montel Jackson
2026-04-25,Davey Grant,Adrian Luna Martinetti
2026-04-25,Rafa Garcia,Alexander Hernandez
2026-04-25,Joselyne Edwards,Norma Dumont
2026-04-25,Aljamain Sterling,Youssef Zalal
2026-05-02,Kody Steele,Dom Mar Fan
2026-05-02,Jonathan Micallef,Themba Gorimbo
2026-05-02,Wes Schultz,Ben Johnston
2026-05-02,Colby Thicknesse,Vince Morales
2026-05-02,Jacob Malkoun,Gerald Meerschaert
2026-05-02,Junior Tafa,Kevin Christian
2026-05-02,Cam Rowston,Robert Bryczek
2026-05-02,Louie Sutherland,Tai Tuivasa
2026-05-02,Brando Peričić,Shamil Gaziev
2026-05-02,Marwan Rahiki,Ollie Schmid
2026-05-02,Steve Erceg,Tim Elliott
2026-05-02,Quillan Salkilld,Beneil Dariush
2026-05-02,Carlos Prates,Jack Della Maddalena
2026-05-09,Jose Ochoa,Clayton Carpenter
2026-05-09,Baisangur Susurkaev,Djorden Santos
2026-05-09,Pat Sabatini,William Gomis
2026-05-09,Roman Kopylov,Marco Tulio
2026-05-09,Jim Miller,Jared Gordon
2026-05-09,Grant Dawson,Mateusz Rębecki
2026-05-09,Yaroslav Amosov,Joel Álvarez
2026-05-09,Ateba Gautier,Ozzy Diaz
2026-05-09,King Green,Jeremy Stephens
2026-05-09,Sean Brady,Joaquin Buckley
2026-05-09,Alexander Volkov,Waldo Cortes Acosta
2026-05-09,Joshua Van,Tatsuro Taira
2026-05-09,Sean Strickland,Khamzat Chimaev
2026-05-16,Nicolle Caliari,Shauna Bannon
2026-05-16,Luis Gurule,Daniel Barez
2026-05-16,Alice Ardelean,Polyana Viana
2026-05-16,Cody Brundage,Andre Petroski
2026-05-16,Ketlen Vieira,Jacqueline Cavalcanti
2026-05-16,Tommy Gantt,Artur Minev
2026-05-16,Ivan Erslan,Tuco Tokkos
2026-05-16,Khaos Williams,Nikolay Veretennikov
2026-05-16,Bernardo Sopaj,Timmy Cuamba
2026-05-16,Modestas Bukauskas,Christian Edwards
2026-05-16,Juan Diaz,Malcolm Wellmaker
2026-05-16,Dooho Choi,Daniel Santos
2026-05-16,Arnold Allen,Melquizael Costa
2026-05-30,Jaqueline Amorim,Loma Lookboonmee
2026-05-30,Rodrigo Vera,Zhu Kangjie
2026-05-30,Angela Hill,Jingnan Xiong
2026-05-30,Rei Tsuruya,Luis Gurule
2026-05-30,Cody Haddon,Aoriqileng
2026-05-30,Jose Henrique,Ding Meng
2026-05-30,Luis Felipe Dias,Yi Sak Lee
2026-05-30,Jake Matthews,Carlston Harris
2026-05-30,Kai Asakura,Cameron Smotherman
2026-05-30,Sergei Pavlovich,Tallison Teixeira
2026-05-30,Alonzo Menifield,Zhang Mingyang
2026-05-30,Song Yadong,Deiveson Figueiredo
2026-06-06,Ketlen Souza,Ariane Carnelossi
2026-06-06,Jeisla Chaves,Yuneisy Duben
2026-06-06,Joanderson Brito,Jordan Leavitt
2026-06-06,Chelsea Chandler,Priscila Cachoeira
2026-06-06,Édgar Cháirez,Bruno Silva
2026-06-06,Marcus McGhee,John Yannis
2026-06-06,Alessandro Costa,Matt Schnell
2026-06-06,Iwo Baraniewski,Junior Tafa
2026-06-06,Bryce Mitchell,Santiago Luna
2026-06-06,Tom Nolan,Farés Ziam
2026-06-06,Brendan Allen,Edmen Shahbazyan
2026-06-06,Gabriel Bonfim,Belal Muhammad
