tourney_date,surface,winner_name,loser_name
20250226,Hard,Stefanos Tsitsipas,Karen Khachanov
20250227,Hard,Felix Auger-Aliassime,Marin Cilic
20250227,Hard,Quentin Halys,Luca Nardi
20250227,Hard,Tallon Griekspoor,Daniil Medvedev
20250227,Hard,Stefanos Tsitsipas,Matteo Berrettini
20250228,Hard,Felix Auger-Aliassime,Quentin Halys
20250228,Hard,Stefanos Tsitsipas,Tallon Griekspoor
20250301,Hard,Stefanos Tsitsipas,Felix Auger-Aliassime
20250215,Hard,Quentin Halys,Mubarak Shannan Zayid
20250215,Hard,Christopher O'Connell,Yosuke Watanuki
20250215,Hard,Pavel Kotov,Jozef Kovalik
20250215,Hard,Stan Wawrinka,Arthur Cazaux
20250215,Hard,Otto Virtanen,Terence Atmane
20250215,Hard,Mikhail Kukushkin,Daniel Merida
20250215,Hard,Botic Van De Zandschulp,Ergi Kirkin
20250215,Hard,Luca Nardi,Yasutaka Uchiyama
20250216,Hard,Luca Nardi,Mikhail Kukushkin
20250216,Hard,Botic Van De Zandschulp,Otto Virtanen
20250216,Hard,Quentin Halys,Stan Wawrinka
20250216,Hard,Christopher O'Connell,Pavel Kotov
20250217,Hard,Christopher O'Connell,Hady Habib
20250217,Hard,Jiri Lehecka,Grigor Dimitrov
20250217,Hard,Fabian Marozsan,Aziz Dougaz
20250217,Hard,Carlos Alcaraz,Marin Cilic
20250217,Hard,Jack Draper,Alexei Popyrin
20250218,Hard,Alex de Minaur,Roman Safiullin
20250218,Hard,Luca Nardi,Zhang Zhizhen
20250218,Hard,Botic Van De Zandschulp,Abdullah Shelbayh
20250218,Hard,Nuno Borges,Otto Virtanen
20250218,Hard,Zizou Bergs,Roberto Bautista Agut
20250218,Hard,Tallon Griekspoor,Jan-Lennard Struff
20250218,Hard,Andrey Rublev,Alexander Bublik
20250218,Hard,Daniil Medvedev,Karen Khachanov
20250218,Hard,Felix Auger-Aliassime,Quentin Halys
20250218,Hard,Matteo Berrettini,Novak Djokovic
20250218,Hard,Hamad Medjedovic,Stefanos Tsitsipas
20250219,Hard,Alex de Minaur,Botic Van De Zandschulp
20250219,Hard,Andrey Rublev,Nuno Borges
20250219,Hard,Jack Draper,Christopher O'Connell
20250219,Hard,Daniil Medvedev,Zizou Bergs
20250219,Hard,Jiri Lehecka,Fabian Marozsan
20250219,Hard,Felix Auger-Aliassime,Hamad Medjedovic
20250219,Hard,Carlos Alcaraz,Luca Nardi
20250219,Hard,Matteo Berrettini,Tallon Griekspoor
20250220,Hard,Andrey Rublev,Alex de Minaur
20250220,Hard,Felix Auger-Aliassime,Daniil Medvedev
20250220,Hard,Jiri Lehecka,Carlos Alcaraz
20250220,Hard,Jack Draper,Matteo Berrettini
20250221,Hard,Andrey Rublev,Felix Auger-Aliassime
20250221,Hard,Jack Draper,Jiri Lehecka
20250222,Hard,Andrey Rublev,Jack Draper
20250215,Hard,Juan Manuel Cerundolo,Thiago Agustin Tirante
20250215,Hard,Tomas Barrios Vera,Cristian Garin
20250215,Hard,Jaime Faria,Mateus De Carvalho Cardoso Alves
20250215,Hard,Roman Andres Burruchaga,Federico Coria
20250215,Hard,Marco Trungelliti,Yannick Hanfmann
20250215,Hard,Chun-Hsin Tseng,Joao Lucas Reis Da Silva
20250215,Hard,Camilo Ugo Carabelli,Karue Sell
20250215,Hard,Hugo Dellien,Juan Pablo Ficovich
20250216,Hard,Tomas Barrios Vera,Camilo Ugo Carabelli
20250216,Hard,Juan Manuel Cerundolo,Jaime Faria
20250216,Hard,Chun-Hsin Tseng,Marco Trungelliti
20250216,Hard,Hugo Dellien,Roman Andres Burruchaga
20250217,Hard,Aleksandr Shevchenko,Felipe Meligeni Alves
20250217,Hard,Nicolas Jarry,Juan Manuel Cerundolo
20250217,Hard,Francisco Comesana,Gustavo Heide
20250217,Hard,Thiago Monteiro,Facundo Diaz Acosta
20250218,Hard,Chun-Hsin Tseng,Alejandro Tabilo
20250218,Hard,Jaume Munar,Thiago Seyboth Wild
20250218,Hard,Tomas Martin Etcheverry,Corentin Moutet
20250218,Hard,Damir Dzumhur,Dusan Lajovic
20250218,Hard,Luciano Darderi,Hugo Dellien
20250218,Hard,Sebastian Baez,Roman Andres Burruchaga
20250218,Hard,Mariano Navone,Roberto Carballes Baena
20250218,Hard,Jaime Faria,Tomas Barrios Vera
20250218,Hard,Francisco Cerundolo,Hugo Gaston
20250218,Hard,Alexander Zverev,Bu Yunchaokete
20250218,Hard,Camilo Ugo Carabelli,Pedro Martinez
20250219,Hard,Alexandre Muller,Joao Fonseca
20250219,Hard,Francisco Comesana,Nicolas Jarry
20250219,Hard,Sebastian Baez,Mariano Navone
20250219,Hard,Alexander Zverev,Aleksandr Shevchenko
20250220,Hard,Chun-Hsin Tseng,Thiago Monteiro
20250220,Hard,Jaime Faria,Jaume Munar
20250220,Hard,Camilo Ugo Carabelli,Damir Dzumhur
20250220,Hard,Francisco Cerundolo,Luciano Darderi
20250221,Hard,Alexandre Muller,Tomas Martin Etcheverry
20250221,Hard,Camilo Ugo Carabelli,Jaime Faria
20250221,Hard,Sebastian Baez,Chun-Hsin Tseng
20250221,Hard,Francisco Comesana,Alexander Zverev
20250222,Hard,Alexandre Muller,Francisco Cerundolo
